Class;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;C_main
compact(bev);35.25;1140;1141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250;0.0;0.0;0.0;571.0
suv(bev);50.3;1471;1246;2.38;2.39;0.0;0.0;0.0;7.52;24.5;250;0.0;0.0;0.0;648.5
ldv(bev);50.3;1471;1246;2.37;2.4;0.0;0.0;0.0;7.52;24.5;250;0.0;0.0;0.0;648.5
compact(fcev);35.25;1124;1074;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0;5.0;56.48;40.89;570.8
suv(fcev);50.3;1455;1179;2.39;2.42;1.25;5.01;6.22;0.0;0.0;0;5.0;56.48;40.89;648.5
ldv(fcev);50.3;1455;1179;2.38;2.43;1.25;5.01;6.22;0.0;0.0;0;5.0;56.48;40.89;648.5
compact(phev);42.39;1656;1174;2.41;2.38;0.0;0.0;0.0;9.43;33.62;300;0.0;0.0;0.0;680.5
suv(phev);59.38;2219;1294;2.4;2.37;0.0;0.0;0.0;9.43;33.62;300;0.0;0.0;0.0;771.0
ldv(phev);59.38;2219;1294;2.4;2.39;0.0;0.0;0.0;9.43;33.62;300;0.0;0.0;0.0;771.0
compact(icev);58.76;1716;1120;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;790.0
suv(icev);80.51;2301;1244;2.36;2.25;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;893.5
ldv(icev);80.51;2301;1244;2.38;2.24;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;893.5
