0.3978;101.5898;85.2205;1921139.7092
0.4523;97.5243;78.2491;1984289.0471
0.3776;90.7538;74.3946;1979980.7358
0.4818;95.5544;75.6768;1953029.4699
0.5435;93.9906;71.6325;1931836.0131
0.4578;88.6521;67.4597;1955686.5515
0.4756;94.9412;74.6711;1967957.4143
0.3741;110.1537;94.2492;2044603.1987
0.3824;92.9863;74.6673;2059591.3384
0.4012;89.7437;70.8944;2013698.3223
0.3939;86.8883;70.3883;2066383.5837
0.4451;97.0325;74.3056;2033206.8365
0.3634;105.9016;90.2717;1984074.2096
0.4274;107.3964;88.5992;2007221.7393
0.3553;99.3073;84.7008;1935411.9813
0.3687;101.4825;84.3432;1970527.807
0.3581;105.4604;88.6072;1960989.6222
0.3743;105.2411;90.8296;1990516.6589
0.4127;104.1294;87.5653;1946568.1223
0.4347;99.5849;80.6774;1955563.289
0.4409;102.3143;84.5798;1987896.6677
0.3704;92.3646;75.0518;1919699.322
0.4423;114.0113;94.1334;1934814.8891
0.4558;106.7822;85.7633;1981367.1188
0.3791;90.8977;72.4108;1969777.6223
0.4397;97.7645;77.7441;1969333.8394
0.39;100.654;82.6341;1973459.4789
0.4004;113.7423;95.8113;1968579.5088
0.3637;96.3821;81.8758;2036863.2459
0.4706;104.7573;83.2267;2042617.6939
0.3742;95.6583;81.7022;1974522.881
0.3327;89.1504;73.0315;1966261.113
0.3478;90.9848;75.4424;1990747.6163
0.4228;93.415;76.0415;1981656.2913
0.4196;104.6501;87.4097;2006749.4387
0.4094;89.4313;73.2846;1914604.9746
0.4626;93.6858;74.2737;2029650.298
0.4424;91.999;73.5273;1971445.6851
0.4904;91.3927;68.9256;1939196.1687
0.455;99.9725;82.0202;1977384.8711
0.3956;94.007;77.6732;1948204.961
0.4858;111.7613;90.9678;1984707.5929
0.3411;91.1246;75.2588;2055018.3723
0.4902;108.3686;84.6865;2052176.4669
0.3782;107.7544;91.6096;1908096.0651
0.4339;108.4449;88.8717;2034361.2536
0.4177;86.2216;68.7767;1937039.1821
0.4022;81.3463;64.5962;1938887.981
0.4156;88.1365;69.0436;2029008.6595
0.3806;94.1586;77.4783;1941067.4118
0.4049;93.2462;74.6395;2039289.0017
0.4028;98.3461;81.3479;2038979.8073
0.4016;104.4514;86.241;1929511.8282
0.4998;98.7866;76.3358;2027116.0502
0.3357;90.1854;74.876;1938878.4507
0.3819;98.6039;83.8675;1970381.848
0.4514;93.6438;73.5632;1963427.3968
0.3466;88.7398;73.1647;1929851.1967
0.3609;100.9598;82.8647;2043600.6582
0.375;93.419;79.2643;1982007.3541
0.4813;114.0594;94.9909;2069161.6854
0.4676;93.3211;71.8391;2049272.6408
0.3697;105.3161;90.0124;1987875.2761
0.4098;95.7802;78.9929;1992658.6677
0.4401;100.5757;83.2267;1941321.7594
0.4111;109.4757;90.4435;1996009.0314
0.4017;111.9492;94.5231;1996626.4583
0.3526;115.6249;99.4205;2001153.9556
0.4684;97.5639;76.4088;2014337.081
0.4071;106.562;88.1268;1934768.546
0.4434;93.3902;73.8285;1927504.5686
0.4841;92.946;69.4801;2060678.2246
0.4181;92.6539;75.4087;2030885.4965
0.3656;94.9648;77.6544;1960201.8992
0.5011;96.5213;75.7304;1926336.1473
0.3454;97.9194;82.4711;1942611.2387
0.4122;100.9693;82.7104;1991593.2845
0.4236;107.2223;87.7306;1954887.7672
0.3726;83.659;66.053;1987170.17
0.3637;84.6589;67.6314;2063717.0486
0.448;101.2482;80.6311;2018648.7715
0.4189;94.4187;78.1405;1967613.3678
0.467;94.731;73.7502;1944029.4851
0.4842;112.2014;89.081;2038032.263
0.4481;107.8767;89.86;1920323.9757
0.4178;98.2585;79.5068;1960346.0735
0.3907;85.8509;68.0369;1976195.872
0.443;110.5665;88.3875;1984788.4423
0.451;112.1836;92.5382;2002821.7504
0.4047;105.5844;88.2619;1995239.419
0.3388;101.9909;87.3151;1959376.2753
0.3806;96.2116;80.406;2005527.9815
0.4;103.2893;84.2589;2029034.9066
0.4577;111.9328;90.422;2030345.2592
0.4857;92.4624;70.6371;2024026.8847
0.4409;95.3046;77.6834;1973471.6014
0.3377;98.3291;82.1889;2060491.3671
0.4628;99.3771;79.4016;1999278.0699
0.4065;107.9143;89.7497;2017877.9649
0.3853;95.8463;77.93;2021883.1073
